,Suburb,Address,Rooms,Type,Price,Bedroom,Bathroom,Car,Age,Lattitude,Longtitude
29,Abbotsford,159 Park St,2,Bungalow,1135000.0,2.0,2.0,2.0,99.0,-37.8005,144.9952
32,Abbotsford,60 Stafford St,3,Bungalow,1290000.0,3.0,1.0,1.0,69.0,-37.8007,144.9958
33,Abbotsford,11/205 Gipps St,1,Apartment,470000.0,1.0,1.0,1.0,6.0,-37.8055,144.9961
34,Abbotsford,47 Studley St,2,Bungalow,1180000.0,2.0,1.0,0.0,119.0,-37.8016,144.9956
35,Abbotsford,45 Yarra St,3,Bungalow,1195000.0,3.0,2.0,1.0,21.0,-37.8022,144.9954
36,Abbotsford,200 Nicholson St,2,Bungalow,1012500.0,2.0,1.0,0.0,119.0,-37.8021,144.9976
37,Abbotsford,27 Charles St,2,Bungalow,1030000.0,2.0,1.0,1.0,89.0,-37.8086,144.9946
38,Airport West,154 Halsey Rd,3,Townhouse,840000.0,3.0,2.0,1.0,3.0,-37.718,144.878
39,Airport West,50 Bedford St,3,Bungalow,730000.0,3.0,2.0,1.0,54.0,-37.7203,144.8755
40,Airport West,50 Bedford St,3,Bungalow,770000.0,3.0,2.0,1.0,54.0,-37.7203,144.8755
41,Airport West,23 Hart St,2,Bungalow,603000.0,2.0,1.0,1.0,69.0,-37.7294,144.888
42,Airport West,1/80 Hawker St,3,Townhouse,700000.0,3.0,2.0,2.0,10.0,-37.7218,144.8837
43,Airport West,1/37 Hillside Gr,3,Bungalow,600000.0,2.0,1.0,1.0,39.0,-37.7273,144.8744
44,Airport West,2/49 McIntosh St,2,Apartment,500000.0,2.0,1.0,1.0,8.0,-37.7215,144.8864
47,Airport West,11 Harrington Rd,6,Bungalow,725000.0,6.0,3.0,2.0,39.0,-37.7239,144.8735
48,Airport West,2/252 Parer Rd,2,Townhouse,450000.0,2.0,1.0,1.0,4.0,-37.7216,144.871
49,Airport West,3/19 Hart St,2,Apartment,515000.0,2.0,1.0,1.0,6.0,-37.7298,144.8883
50,Airport West,2/62 Clydesdale Rd,2,Apartment,530000.0,2.0,1.0,1.0,7.0,-37.7234,144.8792
51,Airport West,3 Deidre Ct,3,Bungalow,895000.0,3.0,1.0,6.0,44.0,-37.7249,144.8728
52,Airport West,13 Etzel St,3,Bungalow,805000.0,3.0,1.0,1.0,69.0,-37.7217,144.8783
53,Airport West,1/43 Cameron St,3,Apartment,752000.0,3.0,1.0,1.0,26.0,-37.7302,144.8855
56,Airport West,2/40 Earl St,3,Townhouse,700000.0,3.0,2.0,2.0,10.0,-37.727,144.887
57,Airport West,180 Parer Rd,3,Bungalow,830000.0,3.0,1.0,2.0,59.0,-37.7186,144.876
58,Airport West,4/54 Hawker St,2,Apartment,462500.0,2.0,1.0,1.0,16.0,-37.7218,144.8863
60,Airport West,174 Parer Rd,2,Bungalow,675000.0,2.0,1.0,1.0,44.0,-37.7187,144.8765
61,Airport West,138 Victory Rd,3,Bungalow,1042000.0,3.0,2.0,5.0,69.0,-37.7173,144.8796
63,Airport West,6 Kittyhawk St,4,Bungalow,773000.0,5.0,3.0,4.0,39.0,-37.7263,144.8679
64,Airport West,478 Fullarton Rd,3,Bungalow,810000.0,3.0,3.0,2.0,39.0,-37.7285,144.8694
65,Airport West,144 Marshall Rd,3,Bungalow,715000.0,3.0,2.0,2.0,24.0,-37.7164,144.8792
67,Airport West,3/7 South Rd,3,Townhouse,540000.0,2.0,2.0,1.0,9.0,-37.7231,144.8802
68,Airport West,37 North St,3,Townhouse,825000.0,3.0,2.0,1.0,59.0,-37.72,144.8776
69,Airport West,10 Hilbert Rd,3,Bungalow,685000.0,3.0,1.0,1.0,44.0,-37.7226,144.8733
77,Airport West,85 Roberts Rd,4,Bungalow,900000.0,4.0,2.0,3.0,44.0,-37.7256,144.8739
78,Albert Park,105 Kerferd Rd,2,Bungalow,1275000.0,2.0,1.0,0.0,119.0,-37.8459,144.9555
80,Albert Park,112 Beaconsfield Pde,3,Bungalow,2850000.0,3.0,2.0,0.0,129.0,-37.8481,144.9499
81,Albert Park,94 Graham St,3,Bungalow,1850000.0,3.0,2.0,0.0,129.0,-37.8452,144.9488
82,Albert Park,396 Montague St,2,Bungalow,1436000.0,2.0,1.0,0.0,119.0,-37.8431,144.9565
83,Albert Park,75 Graham St,2,Bungalow,1110000.0,1.0,1.0,0.0,119.0,-37.8444,144.9484
85,Albert Park,104 Richardson St,4,Bungalow,2300000.0,4.0,2.0,1.0,139.0,-37.8447,144.9523
87,Albert Park,1 Moubray St,3,Bungalow,1800000.0,3.0,2.0,1.0,23.0,-37.8415,144.952
88,Albert Park,29 Faussett St,2,Bungalow,2120000.0,2.0,1.0,1.0,119.0,-37.8422,144.9554
90,Albert Park,24 Kerferd Pl,3,Bungalow,1800000.0,3.0,2.0,1.0,119.0,-37.8421,144.9571
92,Albert Park,2 Dundas Pl,3,Bungalow,2615000.0,3.0,2.0,1.0,139.0,-37.8415,144.9585
95,Albert Park,4a Gatehouse La,3,Bungalow,1370000.0,3.0,2.0,2.0,19.0,-37.8451,144.9511
98,Albert Park,65 Graham St,2,Bungalow,1322500.0,2.0,1.0,0.0,129.0,-37.8443,144.9481
99,Albert Park,364 Montague St,2,Bungalow,1562500.0,2.0,1.0,0.0,129.0,-37.8424,144.9562
100,Albert Park,86 Mills St,3,Bungalow,2000000.0,3.0,2.0,1.0,119.0,-37.847,144.9575
101,Albert Park,129 Kerferd Rd,3,Bungalow,1900000.0,3.0,1.0,0.0,119.0,-37.8468,144.9546
102,Albert Park,97 Page St,3,Bungalow,3010000.0,3.0,2.0,0.0,129.0,-37.8473,144.9551
103,Albert Park,55 Withers St,4,Bungalow,2800000.0,4.0,3.0,1.0,109.0,-37.8467,144.9475
105,Albert Park,55 Merton St,3,Bungalow,2100000.0,2.0,1.0,1.0,119.0,-37.8427,144.9546
106,Albert Park,49 Page St,3,Bungalow,2000000.0,3.0,1.0,1.0,129.0,-37.8461,144.9528
107,Albert Park,13/52 Moubray St,1,Apartment,442500.0,1.0,1.0,0.0,49.0,-37.8421,144.9517
108,Albert Park,115 Page St,4,Bungalow,4735000.0,4.0,2.0,1.0,109.0,-37.8477,144.9558
113,Albert Park,27 Barrett St,4,Bungalow,2140000.0,3.0,2.0,1.0,139.0,-37.8434,144.9495
115,Albert Park,6 Brooke St,2,Bungalow,980000.0,2.0,1.0,0.0,129.0,-37.8387,144.9519
117,Albert Park,17 Reed St,3,Bungalow,1740000.0,3.0,2.0,2.0,129.0,-37.8448,144.9453
119,Albert Park,9 Durham St,1,Bungalow,985000.0,1.0,1.0,0.0,119.0,-37.8411,144.9497
120,Alphington,6 Smith St,4,Bungalow,2000000.0,3.0,2.0,4.0,89.0,-37.7707,145.0318
121,Alphington,5/6 Yarralea St,3,Bungalow,1110000.0,3.0,2.0,2.0,6.0,-37.7854,145.0325
123,Alphington,44 Shiers St,4,Bungalow,1717500.0,4.0,2.0,1.0,94.0,-37.7717,145.031
124,Alphington,83 Fulham Rd,5,Bungalow,2840000.0,5.0,4.0,4.0,109.0,-37.775,145.0268
125,Alphington,3/19 Harker St,2,Apartment,525500.0,2.0,1.0,1.0,59.0,-37.7791,145.0306
126,Alphington,4/2 Miller St,2,Townhouse,805000.0,2.0,2.0,3.0,15.0,-37.7804,145.0308
131,Alphington,10 Bennett St,4,Bungalow,1830000.0,4.0,2.0,2.0,49.0,-37.7743,145.0316
132,Alphington,38 Bennett St,4,Bungalow,2100000.0,4.0,2.0,2.0,11.0,-37.7723,145.0319
133,Alphington,2c Hamilton St,3,Bungalow,865000.0,3.0,1.0,1.0,9.0,-37.7802,145.0243
134,Alphington,5/5 Yarana Rd,2,Apartment,390000.0,2.0,1.0,1.0,59.0,-37.7773,145.0314
136,Alphington,1/14 Fulham Rd,2,Apartment,512000.0,2.0,1.0,1.0,54.0,-37.7805,145.0262
138,Alphington,11 Margaret Gr,4,Bungalow,1900000.0,4.0,2.0,2.0,89.0,-37.7844,145.0225
140,Alphington,42 Shiers St,4,Bungalow,1950000.0,4.0,2.0,3.0,99.0,-37.7719,145.0309
141,Altona,158 Queen St,3,Bungalow,520000.0,3.0,2.0,1.0,4.0,-37.87,144.825
142,Altona,59 Bracken Gr,5,Bungalow,1525000.0,5.0,3.0,3.0,14.0,-37.8721,144.8105
143,Altona,1/123 Blyth St,2,Townhouse,720000.0,2.0,1.0,2.0,6.0,-37.8687,144.8197
144,Altona,4 Blyth St,3,Bungalow,1120000.0,3.0,1.0,2.0,89.0,-37.8693,144.8375
146,Altona,29 Rose St,4,Bungalow,1780000.0,4.0,3.0,6.0,57.0,-37.8681,144.819
147,Altona,1/170 Blyth St,3,Apartment,630000.0,2.0,1.0,2.0,64.0,-37.8702,144.8143
149,Altona,156 Maidstone St,3,Bungalow,660000.0,3.0,1.0,1.0,64.0,-37.8616,144.8116
151,Altona,1/136 Queen St,2,Apartment,580000.0,2.0,1.0,1.0,31.0,-37.8696,144.827
152,Altona,173 Queen St,3,Bungalow,1335000.0,3.0,1.0,4.0,66.0,-37.8697,144.8249
153,Altona,1/265 Queen St,3,Townhouse,800000.0,3.0,2.0,2.0,22.0,-37.8734,144.8143
154,Altona,3/26 Grieve Pde,2,Apartment,510000.0,2.0,1.0,1.0,29.0,-37.8686,144.8182
156,Altona,4/5 Rose St,2,Apartment,425000.0,2.0,1.0,2.0,39.0,-37.871,144.8185
159,Altona,4/31 Millers Rd,2,Apartment,391000.0,2.0,1.0,1.0,54.0,-37.8678,144.8384
161,Altona,24 Wren St,4,Bungalow,845000.0,4.0,1.0,2.0,69.0,-37.8658,144.8155
163,Altona,4/57 Blyth St,3,Apartment,730000.0,3.0,2.0,1.0,5.0,-37.868,144.8286
164,Altona,164 Maidstone St,3,Bungalow,635000.0,3.0,1.0,4.0,59.0,-37.8611,144.8114
166,Altona,3/46 Sargood St,2,Apartment,447000.0,2.0,1.0,1.0,29.0,-37.8655,144.8299
168,Altona,22 Fenfield St,3,Bungalow,678000.0,3.0,1.0,2.0,69.0,-37.8608,144.8124
169,Altona,5/8 David St,2,Apartment,580000.0,2.0,2.0,1.0,6.0,-37.8687,144.8268
171,Altona,27 McIntyre Dr,3,Bungalow,840000.0,3.0,2.0,2.0,54.0,-37.86,144.8245
175,Altona,3/20 Mulga St,3,Apartment,577000.0,3.0,2.0,1.0,12.0,-37.8684,144.815
179,Altona,104 Maidstone St,2,Bungalow,857000.0,2.0,2.0,1.0,69.0,-37.8653,144.8129
181,Altona,5/57 Blyth St,3,Apartment,730000.0,3.0,2.0,1.0,5.0,-37.868,144.8285
184,Altona,3 Curtin Ct,4,Bungalow,931000.0,4.0,2.0,3.0,49.0,-37.8637,144.8365
185,Altona,2/60 David St,2,Bungalow,535600.0,2.0,1.0,1.0,23.0,-37.8646,144.8272
186,Altona North,45 Hearn St,5,Bungalow,1085000.0,5.0,3.0,6.0,54.0,-37.8388,144.8567
187,Altona North,4 Knapp St,3,Bungalow,781000.0,3.0,1.0,2.0,49.0,-37.8291,144.835
189,Altona North,3/66 Marion St,2,Townhouse,421000.0,2.0,1.0,1.0,10.0,-37.8351,144.8529
191,Altona North,33 Carthy St,3,Bungalow,683000.0,3.0,1.0,2.0,52.0,-37.8284,144.8355
193,Altona North,1/5 Little St,3,Bungalow,720000.0,3.0,2.0,1.0,7.0,-37.8379,144.8583
194,Altona North,1/95 Mills St,3,Bungalow,588000.0,3.0,1.0,1.0,49.0,-37.838,144.8555
195,Altona North,5 Binns St,3,Bungalow,710000.0,3.0,1.0,3.0,59.0,-37.8294,144.8378
196,Altona North,25 Allan St,4,Bungalow,875000.0,3.0,1.0,4.0,54.0,-37.8448,144.8529
198,Altona North,1/256 Mason St,2,Townhouse,640000.0,2.0,1.0,1.0,54.0,-37.8397,144.8602
200,Altona North,2/36 May St,3,Bungalow,675000.0,3.0,2.0,2.0,7.0,-37.8337,144.8554
201,Altona North,11 Beevers St,3,Bungalow,708000.0,3.0,1.0,2.0,59.0,-37.8258,144.8523
206,Altona North,252 Millers Rd,4,Bungalow,693000.0,4.0,2.0,4.0,11.0,-37.8391,144.8467
207,Altona North,1/156 Chambers Rd,3,Bungalow,620000.0,5.0,2.0,2.0,9.0,-37.8262,144.8443
208,Altona North,2 Gadsden St,3,Bungalow,728500.0,3.0,1.0,1.0,59.0,-37.8277,144.8385
209,Altona North,24 Hansen St,3,Bungalow,931000.0,3.0,2.0,1.0,69.0,-37.8382,144.8649
210,Altona North,4 Prismall St,3,Bungalow,988000.0,3.0,1.0,4.0,11.0,-37.8423,144.8632
213,Altona North,6 Hill St,3,Bungalow,815000.0,3.0,2.0,3.0,59.0,-37.8318,144.8388
217,Altona North,5 Cresser St,4,Bungalow,1200000.0,4.0,1.0,4.0,59.0,-37.8375,144.8541
220,Altona North,4/221 Blackshaws Rd,2,Apartment,292000.0,2.0,1.0,1.0,49.0,-37.8332,144.8649
221,Armadale,8/19 Mercer Rd,2,Apartment,599000.0,2.0,1.0,1.0,55.0,-37.8543,145.0262
223,Armadale,14/71 Denbigh Rd,3,Apartment,995000.0,3.0,2.0,2.0,21.0,-37.8552,145.016
224,Armadale,4/769 High St,3,Townhouse,1205000.0,3.0,2.0,2.0,19.0,-37.854,145.0135
225,Armadale,7 Llaneast St,3,Bungalow,1939000.0,3.0,2.0,2.0,130.0,-37.8614,145.0274
227,Armadale,28 Cambridge St,3,Bungalow,1870000.0,3.0,1.0,1.0,131.0,-37.8592,145.0182
229,Armadale,3/20 Mercer Rd,3,Townhouse,1918000.0,3.0,2.0,2.0,24.0,-37.8537,145.0267
231,Armadale,12 Willis St,3,Bungalow,2050000.0,3.0,2.0,1.0,109.0,-37.8574,145.0281
233,Armadale,11/17 Myamyn St,2,Apartment,3625000.0,3.0,2.0,2.0,13.0,-37.8555,145.0291
234,Armadale,526 Orrong Rd,4,Bungalow,3000000.0,4.0,2.0,2.0,85.0,-37.858000000000004,145.0111
236,Armadale,9/19 Mercer Rd,3,Apartment,735000.0,3.0,2.0,1.0,49.0,-37.8543,145.0262
239,Armadale,18/41 Kooyong Rd,2,Apartment,645000.0,3.0,1.0,1.0,59.0,-37.8596,145.0198
240,Armadale,10 William St,1,Bungalow,1435000.0,2.0,2.0,1.0,119.0,-37.8564,145.0228
241,Armadale,15/405 Dandenong Rd,1,Apartment,280000.0,1.0,1.0,1.0,44.0,-37.8619,145.0185
244,Armadale,8/58 Sutherland Rd,2,Apartment,592500.0,2.0,1.0,1.0,49.0,-37.8574,145.0174
245,Armadale,40 New St,2,Bungalow,1210000.0,2.0,1.0,0.0,109.0,-37.8543,145.016
246,Armadale,35 Northcote Rd,4,Bungalow,2801000.0,4.0,2.0,2.0,119.0,-37.8536,145.0173
248,Armadale,791 High St,3,Bungalow,1800000.0,3.0,2.0,2.0,109.0,-37.8545,145.0145
249,Armadale,25 Llaneast St,4,Bungalow,2200000.0,4.0,1.0,2.0,119.0,-37.8613,145.0264
251,Armadale,367 Dandenong Rd,6,Bungalow,5525000.0,5.0,3.0,4.0,84.0,-37.8602,145.013
256,Armadale,10/581 Orrong Rd,1,Apartment,440000.0,1.0,1.0,1.0,49.0,-37.8531,145.0115
257,Armadale,7/579 Dandenong Rd,2,Apartment,490000.0,2.0,1.0,1.0,53.0,-37.8646,145.0247
259,Armadale,14 New St,3,Bungalow,1300000.0,2.0,1.0,2.0,119.0,-37.8542,145.0149
261,Armadale,6/51 Armadale St,2,Apartment,704000.0,2.0,1.0,1.0,50.0,-37.8573,145.0186
262,Armadale,12/41 Kooyong Rd,2,Apartment,620000.0,3.0,1.0,1.0,49.0,-37.8596,145.0198
263,Armadale,63 Denbigh Rd,3,Bungalow,1900000.0,3.0,1.0,2.0,119.0,-37.8559,145.0158
266,Armadale,10/51 Armadale St,2,Apartment,710000.0,2.0,1.0,1.0,49.0,-37.8573,145.0186
267,Armadale,2/377 Dandenong Rd,2,Apartment,872000.0,2.0,1.0,1.0,66.0,-37.8604,145.0147
268,Armadale,1/14 Denbigh Rd,2,Apartment,598000.0,2.0,1.0,1.0,49.0,-37.8593,145.0156
269,Armadale,75 Sutherland Rd,3,Bungalow,1285000.0,3.0,1.0,2.0,99.0,-37.8554,145.0173
271,Armadale,1/403 Dandenong Rd,2,Apartment,520000.0,1.0,1.0,1.0,49.0,-37.8618,145.0183
272,Armadale,44 Denbigh Rd,4,Bungalow,3625000.0,4.0,1.0,2.0,119.0,-37.8574,145.016
273,Armadale,44 Hampden Rd,4,Bungalow,4200000.0,4.0,3.0,3.0,19.0,-37.8582,145.0138
274,Armadale,3/769 High St,3,Townhouse,1101000.0,3.0,1.0,2.0,19.0,-37.8542,145.0135
275,Armadale,4 Mercer Rd,3,Bungalow,3512500.0,3.0,2.0,2.0,21.0,-37.8557,145.0264
277,Armadale,1/31 Mercer Rd,3,Apartment,869000.0,2.0,1.0,1.0,79.0,-37.853,145.0264
280,Armadale,5/555 Orrong Rd,1,Apartment,567000.0,1.0,1.0,1.0,6.0,-37.8549,145.0113
282,Armadale,7/844 Malvern Rd,2,Apartment,471500.0,2.0,1.0,1.0,39.0,-37.8503,145.0185
284,Ascot Vale,30 Rothwell St,3,Bungalow,940000.0,3.0,1.0,2.0,99.0,-37.7777,144.9195
285,Ascot Vale,9/5 Rothwell St,2,Apartment,467000.0,2.0,1.0,1.0,39.0,-37.7761,144.9201
286,Ascot Vale,7 Francis St,3,Bungalow,1380000.0,3.0,2.0,2.0,109.0,-37.7777,144.9221
287,Ascot Vale,2/21 Harold St,2,Apartment,490000.0,2.0,1.0,1.0,49.0,-37.7736,144.9015
288,Ascot Vale,44 The Parade,4,Bungalow,1850000.0,4.0,3.0,1.0,119.0,-37.7729,144.9179
289,Ascot Vale,97 Walter St,3,Bungalow,1284000.0,3.0,1.0,2.0,81.0,-37.7758,144.9089
290,Ascot Vale,98 Epsom Rd,3,Bungalow,971000.0,3.0,2.0,2.0,119.0,-37.775,144.9091
291,Ascot Vale,8 Geddes St,2,Bungalow,710000.0,2.0,1.0,1.0,129.0,-37.7776,144.9142
292,Ascot Vale,75 Maribyrnong Rd,6,Bungalow,2425000.0,6.0,3.0,2.0,132.0,-37.7721,144.9184
293,Ascot Vale,119 Roseberry St,2,Bungalow,750000.0,2.0,1.0,1.0,99.0,-37.7745,144.9093
294,Ascot Vale,10 Fenton St,2,Bungalow,1053000.0,2.0,1.0,1.0,119.0,-37.7748,144.929
295,Ascot Vale,10 McCully St,3,Bungalow,1377000.0,3.0,1.0,1.0,119.0,-37.7756,144.9208
296,Ascot Vale,120 Epsom Rd,3,Bungalow,970000.0,3.0,1.0,2.0,115.0,-37.7759,144.91
298,Ascot Vale,63 Kent St,2,Bungalow,751000.0,2.0,1.0,1.0,129.0,-37.7807,144.9288
299,Ascot Vale,4 The Parade,2,Bungalow,950000.0,2.0,1.0,1.0,119.0,-37.7731,144.9206
300,Ascot Vale,1/17 Epsom Rd,2,Apartment,685000.0,2.0,1.0,2.0,24.0,-37.7718,144.9066
301,Ascot Vale,41 Monash St,3,Bungalow,1230000.0,4.0,1.0,2.0,59.0,-37.7819,144.9064
304,Ascot Vale,51 Francis St,2,Bungalow,770000.0,2.0,1.0,1.0,119.0,-37.7774,144.9186
305,Ascot Vale,33 Dalgety Dr,3,Bungalow,960000.0,3.0,2.0,2.0,8.0,-37.7778,144.9065
306,Ascot Vale,12 Mirams St,4,Bungalow,890000.0,4.0,1.0,1.0,129.0,-37.7766,144.9143
308,Ascot Vale,78 The Parade,3,Bungalow,1440000.0,3.0,1.0,1.0,119.0,-37.7725,144.9146
310,Ascot Vale,24/54 Epsom Rd,2,Apartment,450000.0,2.0,1.0,1.0,9.0,-37.7731,144.9074
311,Ascot Vale,2 Farncomb St,3,Bungalow,801000.0,3.0,1.0,2.0,69.0,-37.781,144.9207
312,Ascot Vale,26 Newsom St,3,Bungalow,1000000.0,3.0,2.0,2.0,64.0,-37.7746,144.9031
313,Ascot Vale,8 Pentland St,3,Bungalow,1435000.0,3.0,2.0,2.0,69.0,-37.7737,144.904
314,Ascot Vale,8/129 The Parade,1,Apartment,390000.0,1.0,1.0,1.0,47.0,-37.7723,144.9094
315,Ascot Vale,52 Monash St,3,Bungalow,1425000.0,3.0,2.0,2.0,99.0,-37.7821,144.9055
316,Ascot Vale,58 Fenton St,4,Bungalow,1340000.0,3.0,2.0,2.0,41.0,-37.775,144.93200000000004
317,Ascot Vale,70 Munro St,3,Bungalow,955000.0,3.0,1.0,1.0,109.0,-37.7753,144.9116
318,Ascot Vale,125 Epsom Rd,4,Bungalow,1100000.0,4.0,2.0,5.0,99.0,-37.7791,144.9136
320,Ascot Vale,3/28 Ormond Rd,2,Apartment,432000.0,2.0,1.0,1.0,41.0,-37.773,144.9303
321,Ascot Vale,7 Angler Pde,4,Bungalow,1640000.0,4.0,3.0,2.0,129.0,-37.782,144.903
322,Ascot Vale,26 Ayr St,6,Bungalow,1430000.0,4.0,2.0,1.0,119.0,-37.78,144.9295
323,Ascot Vale,2/127 Epsom Rd,2,Apartment,610000.0,2.0,1.0,1.0,24.0,-37.7791,144.914
324,Ascot Vale,57 The Parade,3,Bungalow,940000.0,3.0,3.0,1.0,69.0,-37.7727,144.9136
325,Ascot Vale,62 Mirams St,3,Bungalow,890000.0,3.0,1.0,1.0,99.0,-37.7765,144.9114
326,Ascot Vale,67 Hurtle St,3,Bungalow,1180000.0,3.0,2.0,2.0,89.0,-37.7742,144.906
327,Ascot Vale,95 Walter St,4,Bungalow,1480000.0,4.0,2.0,2.0,80.0,-37.7757,144.9088
331,Ascot Vale,3/8 Walter St,2,Townhouse,865000.0,2.0,2.0,1.0,4.0,-37.7713,144.9038
332,Ascot Vale,2/225 Maribyrnong Rd,2,Townhouse,705000.0,2.0,2.0,1.0,21.0,-37.7712,144.9088
333,Ascot Vale,12/9 Milton St,2,Apartment,442000.0,2.0,1.0,1.0,44.0,-37.7733,144.9219
335,Ascot Vale,21A Geddes St,3,Bungalow,1037500.0,3.0,1.0,2.0,99.0,-37.7779,144.9133
336,Ascot Vale,1/20 Newsom St,3,Townhouse,1050000.0,3.0,2.0,2.0,6.0,-37.7744,144.9035
337,Ascot Vale,4/27 Roseberry St,2,Apartment,440000.0,2.0,1.0,1.0,49.0,-37.7749,144.9137
339,Ascot Vale,43 Bloomfield Rd,4,Bungalow,1430000.0,4.0,2.0,0.0,119.0,-37.7766,144.9187
343,Ascot Vale,21 Middle St,3,Bungalow,1130000.0,3.0,2.0,1.0,119.0,-37.7774,144.928
344,Ascot Vale,78 Francis St,3,Bungalow,1135000.0,3.0,1.0,1.0,109.0,-37.777,144.9176
345,Ascot Vale,25 Geddes St,4,Bungalow,950000.0,4.0,2.0,1.0,99.0,-37.7778,144.9131
347,Ascot Vale,18/54 Epsom Rd,2,Apartment,390000.0,2.0,1.0,1.0,7.0,-37.7731,144.9074
348,Ascot Vale,15 Mirams St,4,Bungalow,1345000.0,4.0,1.0,1.0,99.0,-37.7769,144.9138
349,Ascot Vale,44 Walter St,3,Bungalow,1381500.0,3.0,2.0,2.0,119.0,-37.7727,144.9055
350,Ascot Vale,25 Dalgety Dr,3,Bungalow,940000.0,3.0,2.0,2.0,8.0,-37.7778,144.9061
351,Ascot Vale,7 Dalgety Dr,3,Bungalow,995000.0,3.0,2.0,1.0,9.0,-37.7778,144.9042
353,Ascot Vale,6 Waller Ct,3,Bungalow,786000.0,3.0,2.0,1.0,79.0,-37.7816,144.9217
354,Ascot Vale,17 Ascot St,2,Bungalow,705000.0,2.0,1.0,3.0,109.0,-37.7825,144.9206
355,Ascot Vale,73 Kent St,2,Bungalow,760000.0,2.0,1.0,1.0,119.0,-37.7807,144.9285
356,Ascot Vale,9/129 The Parade,3,Apartment,487500.0,3.0,1.0,3.0,47.0,-37.7723,144.9094
357,Ascot Vale,1 East St,3,Townhouse,1000000.0,3.0,2.0,2.0,16.0,-37.7766,144.9277
358,Ascot Vale,32 Geddes St,4,Bungalow,1110000.0,4.0,2.0,1.0,99.0,-37.7775,144.91299999999995
362,Ascot Vale,1 Bloomfield Rd,3,Bungalow,1305000.0,2.0,1.0,1.0,119.0,-37.7768,144.9223
365,Ascot Vale,58 Bloomfield Rd,3,Bungalow,1215000.0,3.0,1.0,1.0,59.0,-37.7762,144.9174
366,Ascot Vale,1/91 Epsom Rd,2,Apartment,545000.0,2.0,1.0,2.0,119.0,-37.7772,144.9118
367,Ascot Vale,5 Doncaster St,4,Bungalow,1705000.0,4.0,2.0,4.0,7.0,-37.7774,144.9104
370,Ashburton,61 Dent St,4,Bungalow,2650000.0,4.0,3.0,2.0,4.0,-37.8669,145.0767
371,Ashburton,69 Albion Rd,3,Bungalow,1670000.0,3.0,2.0,2.0,89.0,-37.8673,145.0688
373,Ashburton,3/39 Solway St,3,Townhouse,2050000.0,3.0,3.0,4.0,5.0,-37.874,145.0714
374,Ashburton,101/218 High St,2,Apartment,500000.0,2.0,1.0,1.0,9.0,-37.8636,145.0794
376,Ashburton,3 Dunlop St,3,Bungalow,1555000.0,3.0,2.0,2.0,84.0,-37.8666,145.0676
377,Ashburton,16a Nicholas St,3,Bungalow,1100000.0,3.0,3.0,2.0,15.0,-37.8699,145.0778
378,Ashburton,5 Nicholas St,3,Bungalow,1337000.0,3.0,1.0,2.0,69.0,-37.8685,145.0786
379,Ashburton,115 Ashburn Gr,8,Bungalow,2950000.0,9.0,7.0,4.0,10.0,-37.8729,145.0788
380,Ashburton,33 Eleanor St,4,Bungalow,2215000.0,4.0,2.0,1.0,79.0,-37.8612,145.0858
381,Ashburton,1/1 Nairn St,3,Bungalow,1518000.0,3.0,2.0,2.0,99.0,-37.8675,145.0668
